"Season","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR"
"2017","TOR","2455","6154","222","693","661","53","8.8%","21.6%",".172",".276",".240",".312",".412",".312","","93","-15.8","-72.6","-44.5","8.8"
"2015","PHI","2321","6053","130","626","586","88","6.4%","21.0%",".133",".299",".249",".303",".382",".298","","86","-1.9","-100.3","-3.9","8.8"
"2015","CHW","2265","6070","136","622","595","68","6.7%","20.3%",".130",".296",".250",".306",".380",".300","","89","-15.2","-94.3","-21.6","8.8"
"2019","TEX","2273","6204","223","810","765","131","8.6%","25.4%",".183",".304",".248",".319",".431",".317","","88","12.0","-86.8","-47.3","8.7"
"2009","CHW","2241","6132","184","724","695","113","8.7%","16.7%",".153",".285",".258",".329",".411",".326","","91","-13.0","-84.0","-45.1","8.6"
"2008","WSN","2397","6192","117","641","608","81","8.6%","17.7%",".122",".292",".251",".323",".373",".310","","84","-16.8","-145.4","32.7","8.5"
"2020","OAK","865","2201","71","274","264","26","10.8%","23.8%",".171",".271",".225",".322",".396",".314","","103","6.4","14.5","-9.7","8.4"
"2012","CLE","2339","6195","136","667","635","110","9.0%","17.5%",".131",".288",".251",".324",".381",".310","","97","-13.6","-37.7","-93.2","8.2"
"2008","COL","2310","6312","160","747","714","141","9.0%","19.2%",".152",".308",".263",".336",".415",".330","","88","15.2","-80.7","-40.3","8.1"
"2020","CHC","908","2214","74","265","248","24","10.3%","25.7%",".167",".270",".220",".318",".387",".309","","92","4.7","-18.2","2.0","7.9"
"2018","KCR","2184","6063","155","638","606","117","7.0%","21.6%",".146",".293",".245",".305",".392",".303","","87","-7.4","-98.8","-31.1","7.8"
"2008","SEA","2296","6176","124","671","631","90","6.8%","14.4%",".124",".294",".265",".318",".389",".310","","90","-8.9","-86.1","-52.4","7.6"
"2011","OAK","2229","6104","114","645","612","117","8.3%","17.9%",".125",".283",".244",".311",".369",".301","","89","-6.5","-82.2","-49.5","7.5"
"2020","CLE","869","2247","59","248","234","25","10.6%","23.0%",".144",".277",".228",".317",".372",".303","","90","-1.2","-28.3","5.5","7.4"
"2020","STL","827","2011","51","240","231","18","10.2%","23.7%",".137",".290",".234",".323",".371",".306","","93","-0.7","-17.4","4.9","7.4"
"2008","KCR","2250","6118","120","691","650","79","6.4%","16.4%",".128",".307",".269",".320",".397",".315","","87","-9.5","-109.1","-29.6","7.4"
"2020","BOS","884","2304","81","292","278","31","8.1%","23.7%",".180",".321",".265",".330",".445",".333","","105","-0.5","14.0","-0.3","7.3"
"2020","LAA","890","2308","85","294","285","21","10.4%","21.2%",".182",".284",".248",".332",".430",".329","","106","-3.5","14.9","-26.3","7.2"
"2021","PIT","2393","5983","124","609","570","60","8.8%","22.2%",".128",".290",".236",".309",".364",".294","","82","-3.9","-143.4","14.1","7.2"
"2016","PHI","2348","5992","161","610","575","96","7.1%","23.0%",".144",".292",".240",".301",".385",".296","","81","0.9","-137.5","19.0","7.2"
"2020","KCR","940","2200","68","248","237","49","7.8%","24.0%",".158",".297",".244",".309",".402",".308","","90","3.1","-23.2","-0.8","7.1"
"2022","OAK","2394","5863","137","568","537","78","7.4%","23.7%",".130",".264",".216",".281",".346",".277","","84","1.4","-105.0","-16.2","6.9"
"2022","COL","2265","6105","149","698","669","45","7.4%","21.8%",".144",".307",".254",".315",".398",".312","","86","-2.6","-102.0","-38.6","6.8"
"2022","PIT","2340","5912","158","591","555","90","8.0%","25.3%",".141",".277",".222",".291",".364",".289","","84","6.9","-101.6","-32.9","6.8"
"2011","PIT","2444","6064","107","610","580","108","8.1%","21.6%",".123",".301",".244",".309",".368",".299","","88","-15.2","-103.1","-17.8","6.7"
"2019","KCR","2269","6080","162","691","655","117","7.5%","23.1%",".154",".301",".247",".309",".401",".302","","84","-1.7","-126.2","-24.6","6.7"
"2021","BAL","2376","5983","195","659","632","54","7.5%","24.3%",".163",".290",".239",".304",".402",".305","","91","-6.2","-75.5","-62.2","6.6"
"2008","PIT","2340","6278","153","735","705","57","7.6%","16.5%",".145",".290",".258",".320",".403",".317","","89","0.1","-89.2","-48.6","6.3"
"2020","PHI","875","2223","82","306","289","35","10.3%","21.6%",".183",".299",".257",".342",".439",".336","","108","3.3","27.0","-22.1","6.3"
"2022","WSN","2347","5998","136","603","579","75","7.4%","20.4%",".129",".295",".249",".310",".377",".303","","93","-25.2","-75.4","-68.4","6.1"
"2018","SFG","2412","6113","133","603","573","77","7.3%","24.0%",".129",".299",".239",".300",".368",".290","","82","-2.9","-140.4","9.5","6.0"
"2012","HOU","2421","6014","146","583","545","105","7.7%","22.7%",".135",".288",".236",".302",".371",".296","","82","-16.9","-144.4","17.7","5.8"
"2020","HOU","860","2229","69","279","268","22","8.6%","19.7%",".168",".273",".240",".312",".408",".311","","97","-0.6","-9.8","-13.0","5.8"
"2019","BAL","2386","6189","213","729","698","84","7.5%","23.2%",".168",".293",".246",".310",".415",".308","","88","2.0","-91.4","-73.7","5.7"
"2020","ARI","862","2238","58","269","255","23","8.1%","20.6%",".150",".282",".241",".312",".391",".306","","88","5.5","-29.5","5.0","5.7"
"2020","SEA","843","2181","60","254","244","50","9.5%","25.0%",".144",".281",".226",".309",".370",".298","","92","7.0","-15.4","-9.0","5.5"
"2013","CHW","2279","6077","148","598","574","105","6.8%","19.9%",".129",".291",".249",".302",".378",".299","","85","-12.7","-117.5","-29.0","5.5"
"2010","HOU","2358","6005","108","611","577","100","6.9%","17.1%",".115",".285",".247",".303",".362",".295","","79","-6.4","-156.6","27.6","5.4"
"2020","DET","882","2076","62","249","242","19","7.1%","27.3%",".152",".314",".245",".303",".397",".303","","92","-2.3","-23.3","-13.2","5.4"
"2022","CIN","2406","5978","156","648","618","58","7.6%","23.9%",".137",".290",".235",".304",".372",".299","","84","-15.6","-123.7","-28.4","5.2"
"2020","TOR","910","2263","88","302","288","33","9.0%","22.4%",".186",".297",".255",".325",".441",".329","","104","-2.9","7.8","-16.7","5.0"
"2020","MIL","906","2188","75","247","238","15","10.1%","26.6%",".166",".278",".223",".313",".389",".307","","90","-17.6","-46.0","-1.5","4.8"
"2018","BAL","2313","6034","188","622","593","81","7.0%","23.4%",".152",".286",".239",".298",".391",".299","","87","-9.6","-104.1","-54.0","4.8"
"2016","OAK","2343","6022","169","653","634","50","7.3%","19.0%",".149",".280",".246",".304",".395",".302","","89","-22.2","-100.5","-63.5","4.3"
"2011","MIN","2269","6020","103","619","572","92","7.3%","17.4%",".113",".288",".247",".306",".360",".296","","82","-6.5","-133.4","-25.8","4.3"
"2020","WSN","870","2218","66","293","279","33","8.7%","20.3%",".170",".308",".264",".336",".433",".330","","104","-3.6","9.0","-24.6","4.3"
"2018","DET","2323","6029","135","630","597","70","7.1%","22.2%",".138",".293",".241",".300",".380",".295","","83","6.4","-118.5","-44.9","4.2"
"2011","SEA","2090","5972","109","556","534","125","7.3%","21.4%",".115",".283",".233",".292",".348",".283","","80","11.9","-124.4","-36.6","3.9"
"2020","BAL","906","2242","77","274","264","19","7.3%","22.9%",".171",".309",".258",".321",".429",".323","","102","-4.1","1.2","-23.0","3.7"
"2020","CIN","889","2123","90","243","237","29","11.3%","25.2%",".191",".245",".212",".312",".403",".312","","87","-6.0","-42.2","-13.9","3.7"
"2013","MIA","2244","6021","95","513","485","78","7.2%","20.5%",".104",".280",".231",".293",".335",".279","","74","-5.2","-178.9","29.5","3.3"
"2022","DET","2350","5870","110","557","530","47","6.5%","24.1%",".115",".290",".231",".286",".346",".279","","81","-8.6","-133.2","-29.7","2.5"
"2020","MIA","904","2167","60","263","247","51","8.8%","24.8%",".141",".306",".244",".319",".384",".308","","93","4.0","-15.0","-18.2","2.4"
"2010","SEA","2104","5989","101","513","485","142","7.7%","19.8%",".104",".282",".236",".298",".339",".285","","79","-1.0","-148.9","-40.5","2.2"
"2009","KCR","2247","6103","144","686","657","88","7.5%","17.9%",".146",".298",".259",".318",".405",".318","","88","-18.9","-110.3","-82.0","2.2"
"2013","HOU","2266","6020","148","610","566","110","7.1%","25.5%",".136",".304",".240",".299",".375",".298","","85","-8.9","-112.7","-64.4","1.9"
"2019","MIA","2402","6045","146","615","593","55","6.5%","24.3%",".134",".300",".241",".298",".375",".288","","79","-23.9","-195.6","22.0","1.9"
"2020","COL","888","2257","63","275","264","42","7.1%","24.1%",".148",".316",".257",".311",".405",".307","","76","10.8","-58.9","-6.2","1.8"
"2020","PIT","873","2134","59","219","210","16","7.8%","24.4%",".137",".268",".220",".284",".357",".279","","72","-2.3","-79.8","0.5","1.5"
"2010","PIT","2327","5974","126","587","570","87","7.8%","20.2%",".131",".288",".242",".304",".373",".300","","84","-5.8","-119.0","-48.1","1.4"
"2020","TEX","865","2147","62","224","204","49","7.8%","25.5%",".147",".266",".217",".285",".364",".283","","76","3.0","-59.6","-17.5","0.2"
"2019","DET","2316","6039","149","582","556","57","6.5%","26.4%",".148",".308",".240",".294",".388",".290","","77","-6.8","-181.0","-57.5","-2.0"
